ID,Query,Expected_Route,Predicted_Route,Route_Correct,Expected_Complexity,Predicted_Complexity,Ambiguity_Type,Expected_Flag,Predicted_Flag_OK,Stage1_Route,Stage1_Confidence,Stage2,Stage2_Override,Stage2_Override_Reason,Clarify_Question,Reasoning_Steps,Parse_Error,Latency_ms
clarify_eval_011,Quy định này áp dụng cho trường hợp nào trong lĩnh vực xây dựng?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp lý cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.",Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp lý mà bạn đang muốn hỏi về quy định áp dụng trong lĩnh vực xây dựng?,"Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề. | Nhận thấy thiếu hoàn toàn thông tin về văn bản pháp lý cụ thể (tên, số hiệu, lĩnh vực) để định hướng truy xuất.",,2953.52
clarify_eval_012,Quy định này áp dụng cho trường hợp nào trong lĩnh vực giáo dục?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến, dẫn đến thiếu retrieval target nghiêm trọng.","Bạn đang muốn hỏi về quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định 100/2023/NĐ-CP) hoặc lĩnh vực cụ thể để tôi có thể hỗ trợ chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề. | Nhận thấy không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể để định danh nguồn luật cần truy xuất.",,2885.67
clarify_eval_013,Quy định này áp dụng cho trường hợp nào trong lĩnh vực hóa chất?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Nghị định, Thông tư, Luật...) mà câu hỏi đang đề cập đến, vì hiện tại không có ngữ cảnh nào xác định 'Quy định này' là văn bản nào.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (tên, số hiệu, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi thuộc loại thiếu thông tin cần thiết (missing entity) và cần làm rõ trước khi xử lý.",,3466.78
clarify_eval_014,Quy định này áp dụng cho trường hợp nào trong lĩnh vực lao động?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể được nhắc đến. Thiếu retrieval target nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định, Thông tư, Luật) hoặc lĩnh vực cụ thể để tôi có thể hỗ trợ chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc lịch sử hội thoại để xác định văn bản cụ thể. | Nhận thấy thiếu hoàn toàn thông tin về chủ thể, lĩnh vực hoặc số hiệu văn bản, dẫn đến không thể xác định nguồn luật cần truy xuất.",,3206.74
clarify_eval_015,Quy định này áp dụng cho trường hợp nào trong lĩnh vực bảo hiểm xã hội?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Nghị định, Thông tư, Luật...) mà câu hỏi đang đề cập đến, hoặc mô tả rõ hơn về lĩnh vực và nội dung cụ thể của quy định đó.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin về chủ thể, số hiệu văn bản hoặc lĩnh vực cụ thể để định danh văn bản pháp luật cần tra cứu.",,3595.31
clarify_eval_016,Quy định này áp dụng cho trường hợp nào trong lĩnh vực đất đai?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Nghị định 123/2024/NĐ-CP, Luật Đất đai 2024, hoặc Thông tư X) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, lĩnh vực) cần truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,4688.97
clarify_eval_017,Quy định này áp dụng cho trường hợp nào trong lĩnh vực giao thông đường bộ?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp số hiệu, tên hoặc lĩnh vực cụ thể của văn bản pháp luật mà bạn đang muốn hỏi (ví dụ: Nghị định 10/2020/NĐ-CP, Luật Giao thông đường bộ, hoặc Thông tư X) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,3848.36
clarify_eval_018,Quy định này áp dụng cho trường hợp nào trong lĩnh vực hàng không dân dụng?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể nếu không làm rõ.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định 123/2024/NĐ-CP) hoặc lĩnh vực cụ thể của quy định đó.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi thuộc loại thiếu thông tin cần thiết (missing retrieval target) và cần làm rõ trước khi xử lý.",,3498.8
clarify_eval_019,"Quy định này áp dụng cho trường hợp nào trong lĩnh vực khám bệnh, chữa bệnh?",clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu retrieval target nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể) khiến việc truy xuất thông tin là không thể.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định, Thông tư, Luật) hoặc lĩnh vực cụ thể để tôi có thể hỗ trợ chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc lịch sử hội thoại để xác định văn bản cụ thể. | Nhận thấy thiếu hoàn toàn thông tin về chủ thể, lĩnh vực hoặc số hiệu văn bản, dẫn đến không thể xác định nguồn luật cần truy xuất.",,3167.57
clarify_eval_020,Quy định này áp dụng cho trường hợp nào trong lĩnh vực môi trường?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Nghị định 123/2024/NĐ-CP, Luật Bảo vệ môi trường 2020, v.v.) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,3596.02
clarify_eval_021,Quy định này áp dụng cho trường hợp nào trong lĩnh vực đầu tư công?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có số hiệu văn bản, tên văn bản, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn vui lòng cung cấp số hiệu, tên hoặc cơ quan ban hành của văn bản pháp luật mà bạn đang muốn hỏi về quy định áp dụng trong lĩnh vực đầu tư công?","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (số hiệu, tên, cơ quan ban hành) để thực hiện truy xuất. | Kết luận câu hỏi không thể trả lời nếu không làm rõ đối tượng 'Quy định này' là gì.",,3352.69
clarify_eval_022,Quy định này áp dụng cho trường hợp nào trong lĩnh vực doanh nghiệp?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng khiến việc truy xuất thông tin là không thể.,"Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Nghị định, Thông tư, Luật) để tôi có thể trả lời chính xác.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề hoặc số hiệu văn bản cụ thể. | Nhận thấy thiếu thông tin bắt buộc (văn bản nào?) để xác định phạm vi áp dụng, dẫn đến không thể thực hiện truy xuất.",,2993.71
clarify_eval_023,Quy định này áp dụng cho trường hợp nào trong lĩnh vực thuế?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu retrieval target nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.",Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật mà bạn đang muốn hỏi về quy định áp dụng trong lĩnh vực thuế?,"Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (tên, số hiệu, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,3224.05
clarify_eval_024,Quy định này áp dụng cho trường hợp nào trong lĩnh vực xây dựng?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng khiến hệ thống không thể xác định nguồn luật cần truy xuất.,"Bạn vui lòng cung cấp số hiệu hoặc tên cụ thể của văn bản pháp luật (ví dụ: Nghị định, Thông tư, Quyết định) mà câu hỏi đang đề cập đến, hoặc mô tả rõ hơn về lĩnh vực xây dựng và nội dung quy định đó.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề. | Nhận thấy thiếu thông tin về số hiệu văn bản, lĩnh vực cụ thể hoặc chủ thể liên quan để định danh văn bản pháp luật.",,3044.4
clarify_eval_025,Quy định này áp dụng cho trường hợp nào trong lĩnh vực giáo dục?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể.","Bạn đang đề cập đến quy định nào? Vui lòng cung cấp tên văn bản, số hiệu (ví dụ: Nghị định, Thông tư, Luật) hoặc lĩnh vực cụ thể của quy định đó.","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu hoàn toàn thông tin định danh văn bản pháp luật (tên, số hiệu, lĩnh vực) để thực hiện truy xuất. | Kết luận câu hỏi không thể trả lời chính xác nếu không làm rõ đối tượng 'Quy định này' là gì.",,3380.27
clarify_eval_026,Quy định này áp dụng cho trường hợp nào trong lĩnh vực hóa chất?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,"Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng (không có tên văn bản, số hiệu, hoặc lĩnh vực cụ thể), khiến việc truy xuất thông tin là không thể nếu không làm rõ.","Bạn đang muốn hỏi về quy định áp dụng trong lĩnh vực hóa chất của văn bản pháp luật cụ thể nào? (Vui lòng cung cấp tên hoặc số hiệu văn bản, ví dụ: Nghị định 35/2015/NĐ-CP, Luật Hóa chất, v.v.)","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề (lịch sử hội thoại trống). | Nhận thấy thiếu thông tin định danh văn bản pháp luật (tên, số hiệu, lĩnh vực) cần thiết để truy xuất quy định áp dụng. | Kết luận câu hỏi thuộc loại thiếu thông tin (ambiguous) và cần làm rõ trước khi xử lý.",,3602.96
clarify_eval_027,Quy định này áp dụng cho trường hợp nào trong lĩnh vực lao động?,clarify,clarify,True,low,ambiguous,incomplete_context,incomplete_context,True,dense_retrieval,1.0,True,True,Câu hỏi sử dụng đại từ 'Quy định này' nhưng không có lịch sử hội thoại hoặc ngữ cảnh nào để xác định văn bản pháp luật cụ thể đang được nhắc đến. Thiếu 'retrieval target' nghiêm trọng khiến việc truy xuất thông tin là không thể.,"Bạn vui lòng cung cấp tên hoặc số hiệu của văn bản pháp luật (ví dụ: Nghị định, Thông tư, Luật...) mà câu hỏi đang đề cập đến?","Xác định câu hỏi chứa đại từ 'Quy định này' nhưng không có ngữ cảnh tiền đề. | Nhận thấy thiếu hoàn toàn thông tin về số hiệu, tên văn bản hoặc lĩnh vực cụ thể để định hướng tìm kiếm.",,2809.59
